id,date mixed,reservoir,rez_id,reservoir size (g),reservir size (L),system,reservoir fill volume (g),reservoir fill volume (L),top-up or full reset,ingredient 1,ingredient 1 quantity (ml),ingredient 2,ingredient 2 quantity (ml),ingredient 3,ingredient 3 quantity (ml),ingredient 4,ingredient 4 quantity (ml),ingredient 5,ingredient 5 quantity (ml),ingredient 6,ingredient 6 quantity (ml),ingredient 7,ingredient 7 quantity,ingredient 8,ingredient 8 quantity,ingredient 9,ingredient 9 quantity,ingredient 10,ingredient 10 quantity
11,4/13/2018,Wooer,,27,103,Dumbo,10,38,,vinegar,60,hydrogen peroxide,60,flora gro,160,flora micro,100,flora bloom,50,,,,,,,,,,
12,4/24/2018,Mayor of York,,27,103,Sue + David Racks,16,61,,vinegar,60,hydrogen peroxide,60,flora gro,80,flora micro,75,flora bloom,75,,,,,,,,,,
13,4/24/2018,Young Lucius,,12,46,N/A - Germination,5,19,full reset,vinegar,30,hydrogen peroxide,30,flora gro,10,flora micro,8,flora bloom,8,,,,,,,,,,
14,4/24/2018,Wooer,,27,103,Dumbo,5,19,,vinegar,90,hydrogen peroxide,90,flora gro,90,flora micro,60,flora bloom,30,,,,,,,,,,
15,4/30/2018,Young Lucius,,12,46,N/A - Germination,5,19,full reset,vinegar,60,hydrogen peroxide,60,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,20,,,,,,,,
16,5/2/2018,Young Seyward,,27,103,Sue + David Racks,25,95,full reset,vinegar,90,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
17,5/2/2018,Young Lucius,,12,46,N/A - Germination,4,16,full reset,vinegar,0,hydrogen peroxide,0,flora gro,,flora micro,,flora bloom,,,,,,,,,,,
18,5/2/2018,YC,,27,103,Dumbo,25,95,full reset,vinegar,90,hydrogen peroxide,90,flora gro,375,flora micro,250,flora bloom,125,rock supercharge,100,,,,,,,,
19,5/10/2018,Young Seyward,,27,103,Sue + David Racks,20,76,,vinegar,120,hydrogen peroxide,90,flora gro,100,flora micro,100,flora bloom,100,rock supercharge,80,,,,,,,,
20,5/10/2018,Bozo,,12,46,N/A - Germination,6,23,full reset,vinegar,60,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,25,,,,,,,,
