id,started_date,crop,crop_variety,seed_brand,medium,format,seed_weight_oz,seed_media_treatment_notes,first_emerge_date,full_emerge_date,emergence_notes,date_of_first_transplant,date_of_second_transplant,harvested_on,harvest_weight_oz,hrvst_wt_lbs,harvest_week,harvest_notes,created_at,updated_at,flat_id,date_of_third_transplant,former_flat_id,seed_treatments_id,days_to_harvest_from_sew,days_to_harvest_from_soak,room_id,current_system_id,exclude_from_freshlist,force_onto_freshlist,sewn_for
31,2018-01-14,kale,red russian,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-15,2018-01-16,"",2018-01-19,2018-01-29,2018-10-05,5.97,0.373125,40,DONE,2018-01-22 15:31:56 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
33,2018-01-14,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-15,2018-01-15,"",2018-01-18,2018-01-22,2018-10-05,13.07,0.816875,40,DONE,2018-01-22 15:33:43 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
39,2018-01-16,spicy mix,"broccoli, kale, kohlrabi, arugula, red cabbage, cauliflower, southern giant mustard, radish",mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-17,2018-01-18,"",2018-01-22,2018-02-01,2018-10-05,8.27,0.516875,40,DONE,2018-01-22 15:36:55 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
43,2018-01-24,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-25,2018-01-25,"",2018-01-31,2018-02-05,2018-10-05,9.24,0.5775,40,DONE,2018-01-24 11:37:15 -0800,2018-10-05 09:38:26 -0700,,2018-02-07,,,,,1,,,,
10,2018-01-22,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-01-29,2018-02-01,2018-10-05,8.38,0.52375,40,DONE,2018-01-22 14:18:15 -0800,2018-10-05 09:38:26 -0700,,2018-02-07,,,,,1,,,,
30,2018-01-14,spicy mix,"broccoli, kale, kohlrabi, arugula, red cabbage, cauliflower, southern giant mustard, radish",mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-15,2018-01-16,"",2018-01-17,2018-01-29,2018-10-05,10.1,0.63125,40,DONE,2018-01-22 15:30:45 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
140,2018-03-02,radish,china rose,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-03-04,2018-03-05,"",2018-03-07,2018-03-14,2018-10-05,6.71,0.419375,40,formerly flat # KLAY | ,2018-03-02 12:52:41 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
11,2018-01-22,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-01-29,2018-02-01,2018-10-05,7.9,0.49375,40,DONE,2018-01-22 14:25:41 -0800,2018-10-05 09:38:26 -0700,,2018-02-08,,,,,1,,,,
106,2018-02-20,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-21,2018-02-23,"",2018-02-28,2018-03-02,2018-10-05,4.3,0.26875,40,formerly flat # Gold | ,2018-02-20 15:21:57 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
107,2018-02-20,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-21,2018-02-23,"",2018-02-28,2018-03-02,2018-10-05,5.5,0.34375,40,formerly flat # Silver | ,2018-02-20 15:22:07 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
